,generation algorithm,turn_num,L_num,L_size,L_size_std,R_num,R_size,R_size_std,boader_l,neighbor_sum,correct_path_len,turn_pos_num,dead_end_num,T_num,cross_num,straight_len_std,straight_num,gorl_depth,depth_std,depth_max,depth_mean
50,AldousBroder,23,6,88,16.67999467,0,0,0,108,5,73,39,10,8,0,103,55,72,32.9417668,106,61.8
51,AldousBroder,18,3,54,14.96662955,2,54,21,109,2,53,43,9,7,0,102,58,52,16.43242804,62,42.44444444
52,AldousBroder,18,3,32,6.18241233,3,76,17.91337179,119,4,53,43,13,11,0,94,66,52,17.46136903,70,37.84615385
53,AldousBroder,22,3,64,14.81740718,2,16,6,110,3,81,36,8,6,0,111,49,80,36.5709926,112,75.75
54,AldousBroder,11,5,56,9.086253353,3,68,12.36482466,166,8,37,40,9,7,0,105,55,36,10.98596186,54,36.44444444
55,AldousBroder,21,4,68,10.04987562,1,20,0,123,2,73,46,8,6,0,101,59,72,25.27844932,98,51
56,AldousBroder,18,4,28,5.385164807,4,76,20.51828453,148,7,57,37,12,10,0,97,57,56,24.86407493,78,41.33333333
57,AldousBroder,28,5,46,9.431860898,3,42,14.23610434,129,7,73,46,9,7,0,99,61,72,34.91930733,100,53.55555556
58,AldousBroder,11,3,88,31.59465496,1,20,0,116,2,53,31,11,9,0,109,49,52,37.50482063,108,59.45454545
59,AldousBroder,22,2,14,1,4,78,15.64448785,125,3,69,40,8,6,0,107,53,68,25.78638206,84,60.75
60,AldousBroder,15,3,46,8.055363982,4,62,9.630680142,152,5,53,35,11,9,0,105,53,52,14.25621512,64,45.81818182
61,AldousBroder,22,3,22,4.109609335,2,66,31,92,2,73,44,8,6,0,103,57,72,40.37325848,110,66
62,AldousBroder,18,4,54,7.921489759,3,54,11.77568116,131,5,53,42,10,8,0,101,59,52,17.8089865,68,44.2
63,AldousBroder,31,3,36,10.19803903,4,20,3.31662479,96,2,105,35,11,9,0,103,53,104,31.35507129,104,63.63636364
64,AldousBroder,17,3,30,5.887840578,1,62,0,78,0,69,37,6,4,0,114,46,68,28.90021146,108,67.66666667
65,AldousBroder,22,1,22,0,4,78,12.51998403,134,4,61,40,11,9,0,100,58,60,26.21714788,80,49.45454545
66,AldousBroder,27,4,20,3,4,52,9.433981132,134,6,89,34,9,7,0,111,49,88,34.4666595,116,50.22222222
67,AldousBroder,18,4,74,17.22643318,4,30,6.224949799,141,7,57,31,15,13,0,101,57,56,21.33999896,66,37.73333333
68,AldousBroder,12,3,94,6.18241233,2,22,1,125,3,45,39,10,8,0,104,56,44,17.68162888,66,37.6
69,AldousBroder,12,4,108,23.08679276,2,4,0,133,5,49,38,10,8,0,102,54,48,27.80215819,94,45.2
70,AldousBroder,7,3,116,17.98765008,1,8,0,119,3,37,38,10,8,0,105,55,36,16.44992401,64,29
71,AldousBroder,13,1,24,0,3,92,30.91206165,103,2,45,41,9,7,0,104,56,44,30.13713513,102,48.44444444
72,AldousBroder,15,4,92,17.29161647,1,8,0,100,3,61,44,9,7,0,101,59,60,29.18142484,84,44.66666667
73,AldousBroder,9,3,116,19.75404319,1,4,0,124,2,41,38,10,8,0,105,55,40,22.36872817,72,38.2
74,AldousBroder,9,3,54,18.40289832,1,70,0,96,2,37,39,9,7,0,106,54,36,23.23046106,86,54.88888889
75,AldousBroder,8,4,66,16.75559608,2,58,19,145,4,37,33,10,8,0,110,50,36,21.16695538,78,37.4
76,AldousBroder,20,3,30,5.887840578,2,38,1,112,1,93,35,8,6,0,97,47,92,28.37142048,92,55.25
77,AldousBroder,32,4,32,6.633249581,5,28,4.45421149,122,5,101,33,11,9,0,103,51,100,33.51378155,100,46.90909091
78,AldousBroder,18,2,102,33,2,6,1,89,1,53,43,9,7,0,102,58,52,34.73213192,110,59.11111111
79,AldousBroder,24,5,28,5.425863987,2,60,6,102,2,73,46,9,7,0,99,61,72,21.14500204,74,40.66666667
80,AldousBroder,19,3,74,32.05550741,4,30,3.840572874,112,4,57,37,13,11,0,100,60,56,33.62374478,110,54.46153846
81,AldousBroder,17,2,100,10,2,4,0,109,1,57,39,10,8,0,99,55,56,25.64371268,92,46
82,AldousBroder,15,1,22,0,3,86,16.43843734,137,2,53,42,9,7,0,103,57,52,20.82258982,78,31.55555556
83,AldousBroder,15,1,60,0,3,56,5.734883511,107,2,45,47,9,7,0,97,61,44,31.3750707,100,44.22222222
84,AldousBroder,11,3,64,10.49867717,4,48,11.74734012,137,4,49,41,10,8,0,102,58,48,22.83943957,66,34.6
85,AldousBroder,12,3,40,4.988876516,3,80,2.494438258,152,5,41,33,11,7,1,109,51,40,12.41965917,60,37.45454545
86,AldousBroder,13,0,0,0,2,112,46,69,1,49,38,9,7,0,107,53,48,29.42074518,90,63.55555556
87,AldousBroder,16,2,94,21,1,10,0,98,1,57,41,7,5,0,105,51,56,27.4196414,98,57.14285714
88,AldousBroder,35,3,56,18.20866704,3,8,0.942809042,98,3,97,42,11,9,0,98,60,96,36.60194639,110,55.45454545
89,AldousBroder,13,5,96,20.61455796,2,20,8,150,5,45,35,11,7,1,107,53,44,25.66922459,82,44
90,AldousBroder,14,3,24,5.887840578,4,88,23.70653918,144,4,49,37,10,8,0,106,54,48,29.14858487,98,38.6
91,AldousBroder,20,1,2,0,4,94,20.56088519,120,3,65,40,11,9,0,100,58,64,27.34656671,86,48.72727273
92,AldousBroder,12,3,90,26.73325021,3,30,7.483314774,131,3,41,39,12,10,0,100,60,40,15.13274595,62,33
93,AldousBroder,7,3,118,45.9081208,1,6,0,85,2,37,39,8,6,0,105,51,36,34.21622422,116,47.5
94,AldousBroder,20,1,48,0,1,44,0,97,0,69,38,9,7,0,100,52,68,30.92803275,92,57.11111111
95,AldousBroder,14,2,62,29,3,38,6.599663291,85,3,61,33,10,8,0,109,49,60,23.38289973,74,49.8
96,AldousBroder,16,3,32,10.87300429,5,60,8.197560613,124,6,69,32,10,8,0,111,49,68,26.51490147,94,47.6
97,AldousBroder,22,3,26,6.599663291,4,74,18.56744463,115,5,61,48,9,7,0,97,63,60,26.09574016,96,56.88888889
98,AldousBroder,13,4,106,35.61951712,2,14,3,110,4,41,40,12,10,0,99,61,40,33.4149002,100,50.33333333
99,AldousBroder,10,1,8,0,4,108,20.61552813,142,4,45,37,12,10,0,102,58,44,17.23288201,66,40.83333333
100,Division,9,5,98,21.62960934,6,22,1.795054936,147,13,41,24,22,18,1,91,63,40,16.70848748,64,34.90909091
101,Division,9,8,84,13.62901317,3,40,13.29995823,144,13,37,21,25,15,4,96,64,36,10.61440531,48,30.88
