,generation algorithm,straights_num,turn_num,dead_end_num,T_num,cross_num,correct_path_len,turn_num_in_correct_path,border_l,neighbor_sum,L_num,L_size,L_size_std,R_num,R_size,R_size_std
69,AldousBroder,105,12,10,8,0,49,38,133,5,4,108,23.08679276,2,4,0
70,AldousBroder,105,7,10,8,0,37,38,119,3,3,116,17.98765008,1,8,0
71,AldousBroder,104,13,9,7,0,45,41,103,2,1,24,0,3,92,30.91206165
72,AldousBroder,101,15,9,7,0,61,44,100,3,4,92,17.29161647,1,8,0
73,AldousBroder,105,9,10,8,0,41,38,124,2,3,116,19.75404319,1,4,0
74,AldousBroder,106,9,9,7,0,37,39,96,2,3,54,18.40289832,1,70,0
75,AldousBroder,110,8,10,8,0,37,33,145,4,4,66,16.75559608,2,58,19
76,AldousBroder,112,20,8,6,0,93,35,112,1,3,30,5.887840578,2,38,1
77,AldousBroder,108,32,11,9,0,101,33,122,5,4,32,6.633249581,5,28,4.45421149
78,AldousBroder,102,18,9,7,0,53,43,89,1,2,102,33,2,6,1
79,AldousBroder,99,24,9,7,0,73,46,102,2,5,28,5.425863987,2,60,6
80,AldousBroder,100,19,13,11,0,57,37,112,4,3,74,32.05550741,4,30,3.840572874
81,AldousBroder,104,17,10,8,0,57,39,109,1,2,100,10,2,4,0
82,AldousBroder,103,15,9,7,0,53,42,137,2,1,22,0,3,86,16.43843734
83,AldousBroder,98,15,9,7,0,45,47,107,2,1,60,0,3,56,5.734883511
84,AldousBroder,102,11,10,8,0,49,41,137,4,3,64,10.49867717,4,48,11.74734012
85,AldousBroder,109,12,11,7,1,41,33,152,5,3,40,4.988876516,3,80,2.494438258
86,AldousBroder,107,13,9,7,0,49,38,69,1,0,0,0,2,112,46
87,AldousBroder,108,16,7,5,0,57,41,98,1,2,94,21,1,10,0
88,AldousBroder,99,35,11,9,0,97,42,98,3,3,56,18.20866704,3,8,0.942809042
89,AldousBroder,107,13,11,7,1,45,35,150,5,5,96,20.61455796,2,20,8
90,AldousBroder,106,14,10,8,0,49,37,144,4,3,24,5.887840578,4,88,23.70653918
91,AldousBroder,101,20,11,9,0,65,40,120,3,1,2,0,4,94,20.56088519
92,AldousBroder,100,12,12,10,0,41,39,131,3,3,90,26.73325021,3,30,7.483314774
93,AldousBroder,108,7,8,6,0,37,39,85,2,3,118,45.9081208,1,6,0
94,AldousBroder,107,20,9,7,0,69,38,97,0,1,48,0,1,44,0
95,AldousBroder,110,14,10,8,0,61,33,85,3,2,62,29,3,38,6.599663291
96,AldousBroder,111,16,10,8,0,69,32,124,6,3,32,10.87300429,5,60,8.197560613
97,AldousBroder,97,22,9,7,0,61,48,115,5,3,26,6.599663291,4,74,18.56744463
98,AldousBroder,99,13,12,10,0,41,40,110,4,4,106,35.61951712,2,14,3
99,AldousBroder,102,10,12,10,0,45,37,142,4,1,8,0,4,108,20.61552813
100,Division,96,9,22,18,1,41,24,147,13,5,98,21.62960934,6,22,1.795054936
101,Division,96,9,25,15,4,37,21,144,13,8,84,13.62901317,3,40,13.29995823
102,Division,96,13,22,14,3,49,26,104,7,4,96,28.39013913,4,16,2.449489743
103,Division,102,16,21,15,2,49,21,198,21,10,52,5.810335619,5,60,11.3137085
104,Division,88,18,24,18,2,53,29,116,12,5,84,29.6,6,24,3.651483717
105,Division,91,10,23,19,1,37,27,189,23,8,86,16.64143924,6,38,4.678556283
106,Division,99,10,22,16,2,41,22,162,13,5,64,12.99846145,4,56,8.602325267
107,Division,96,9,26,16,4,37,19,156,21,5,24,3.487119155,8,100,21.18372016
108,Division,93,15,22,16,2,49,28,179,17,8,86,10.85990331,5,26,4.489988864
109,Division,95,13,23,19,1,45,23,129,13,6,16,1.490711985,6,100,28.39405259
110,Division,101,13,19,15,1,41,25,158,12,5,54,8.634813258,4,66,12.03120942
111,Division,94,19,21,15,2,61,29,158,14,5,26,5.455272679,7,74,13.80328266
112,Division,93,20,25,19,2,61,22,152,18,8,32,3.31662479,8,68,16.45448267
113,Division,91,9,23,19,1,41,27,95,4,3,14,2.494438258,3,106,31.67894499
114,Division,99,14,18,14,1,49,29,146,12,7,60,11.3999642,4,52,7.681145748
115,Division,98,8,21,13,3,37,26,105,6,5,24,2.039607805,2,100,46
116,Division,107,5,19,13,2,33,20,164,6,5,110,23.46060528,3,18,2.828427125
117,Division,101,5,19,15,1,33,25,123,10,5,116,28.41408102,3,12,2.828427125
118,Division,96,10,21,17,1,45,26,142,15,6,42,10.31180553,5,74,15.52288633
119,Division,104,12,17,13,1,65,26,159,15,6,64,14.17352775,7,32,2.55550626
120,Division,92,10,25,19,2,33,23,146,11,4,48,9.486832981,5,80,18.46076921
121,Division,95,17,20,16,1,57,29,132,11,4,20,3,6,84,16.28905563
122,Division,102,10,22,14,3,37,20,129,13,6,100,31.04119127,5,24,2.4
123,Division,89,13,27,21,2,45,22,177,20,6,78,12.89702808,7,38,3.958973274
124,Division,102,10,23,15,3,49,18,159,13,7,80,17.68661433,7,32,2.32115383
125,Division,104,5,20,14,2,41,21,111,8,0,0,0,5,120,30.03997337
126,Division,103,15,16,14,0,57,28,116,10,5,92,25.87353861,4,12,1
127,Division,101,13,18,16,0,53,26,154,12,6,86,16.82920742,4,22,3.840572874
